Trmt,Fam,Origin,Rep,Count1,Count2,Count3,AveCount,Count/mm3,Vol,TotalCount,Nlar,CountPerLar
DR,5,Inshore,2,33.2,35.2,31.8,33.4,668,143.6,95924.8,10,9592.48
DR,20,Inshore,2,44.8,42.4,38.6,41.93333333,838.6666667,137.8,115568.2667,10,11556.82667
DR,11,Inshore,2,25.8,19,20.2,21.66666667,433.3333333,136.4,59106.66667,10,5910.666667
DR,19,Inshore,2,69.2,67.2,54.8,63.73333333,1274.666667,137.7,175521.6,10,17552.16
DR,17,Inshore,2,20,27.2,19.2,22.13333333,442.6666667,138.2,61176.53333,10,6117.653333
DR,34,Offshore,2,32.8,38.4,28.2,33.13333333,662.6666667,135.5,89791.33333,10,8979.133333
DR,39,Offshore,2,31.8,25.4,24.8,27.33333333,546.6666667,144.3,78884,10,7888.4
DR,38,Offshore,2,27.4,25.2,25.6,26.06666667,521.3333333,140.4,73195.2,10,7319.52
DR,32,Offshore,2,26.4,31.6,33.4,30.46666667,609.3333333,135.5,82564.66667,10,8256.466667
DR,46,Offshore,2,37,25.2,34.8,32.33333333,646.6666667,137.2,88722.66667,10,8872.266667
Control,5,Inshore,2,45.8,52,58.4,52.06666667,1041.333333,138.2,143912.2667,10,14391.22667
Heat,5,Inshore,2,40.4,47.8,41.6,43.26666667,865.3333333,142.6,123396.5333,10,12339.65333
Control,20,Inshore,2,62,50.8,58.4,57.06666667,1141.333333,140,159786.6667,10,15978.66667
Heat,20,Inshore,2,35.8,48.2,44.8,42.93333333,858.6666667,140,120213.3333,10,12021.33333
Control,11,Inshore,2,69,57.2,58.4,61.53333333,1230.666667,138.3,170201.2,10,17020.12
Heat,11,Inshore,2,54.8,50,57.8,54.2,1084,137,148508,10,14850.8
Control,19,Inshore,2,64.6,61.2,55.6,60.46666667,1209.333333,139.4,168581.0667,10,16858.10667
Heat,19,Inshore,2,48,50.4,50.2,49.53333333,990.6666667,135.4,134136.2667,10,13413.62667
Control,17,Inshore,2,32.6,31.8,30.6,31.66666667,633.3333333,126.3,79990,6,13331.66667
Heat,17,Inshore,2,38.6,34.8,32.6,35.33333333,706.6666667,135.8,95965.33333,10,9596.533333
Control,34,Offshore,2,39.8,36.2,36.2,37.4,748,138.8,103822.4,10,10382.24
Heat,34,Offshore,2,40.4,43.2,44.8,42.8,856,131.4,112478.4,10,11247.84
Control,39,Offshore,2,31,29.6,30.6,30.4,608,138.7,84329.6,10,8432.96
Heat,39,Offshore,2,30.8,29.4,26.8,29,580,153.9,89262,10,8926.2
Control,38,Offshore,2,34.8,33.4,33.2,33.8,676,137.7,93085.2,10,9308.52
Heat,38,Offshore,2,28,25.4,23.6,25.66666667,513.3333333,132.5,68016.66667,10,6801.666667
Control,32,Offshore,2,10.22222222,9.666666667,12.11111111,10.66666667,213.3333333,131,27946.66667,10,2794.666667
Heat,32,Offshore,1,27,25.8,24,25.6,512,137.5,70400,10,7040
Control,46,Offshore,2,50.8,53,49.8,51.2,1024,149,152576,10,15257.6
Heat,46,Offshore,2,46.4,42,33.4,40.6,812,140,113680,10,11368
DR,5,Inshore,3,82.4,76,42.4,66.93333333,1338.666667,125,167333.3333,10,16733.33333
DR,20,Inshore,3,40,51.8,42,44.6,892,137.8,122917.6,10,12291.76
DR,11,Inshore,3,44.2,29,26.6,33.26666667,665.3333333,140,93146.66667,10,9314.666667
DR,19,Inshore,3,63.6,69,51.2,61.26666667,1225.333333,134.8,165174.9333,10,16517.49333
DR,17,Inshore,3,30.2,25.8,15.6,23.86666667,477.3333333,143.1,68306.4,10,6830.64
DR,34,Offshore,3,44.6,51.4,38.6,44.86666667,897.3333333,142.2,127600.8,10,12760.08
DR,39,Offshore,3,23.6,28.6,23.6,25.26666667,505.3333333,136.2,68826.4,10,6882.64
DR,38,Offshore,3,42.4,40,32.2,38.2,764,141.6,108182.4,10,10818.24
DR,32,Offshore,3,34.2,36,33.2,34.46666667,689.3333333,136.5,94094,10,9409.4
DR,46,Offshore,3,53.4,57.2,40.6,50.4,1008,137.6,138700.8,10,13870.08
Control,5,Inshore,3,53.4,62.6,45.2,53.73333333,1074.666667,135.5,145617.3333,10,14561.73333
Heat,5,Inshore,3,52.2,46.8,41.8,46.93333333,938.6666667,137.6,129160.5333,10,12916.05333
Control,20,Inshore,3,69.8,65.8,40,58.53333333,1170.666667,132.6,155230.4,6,25871.73333
Heat,20,Inshore,3,47.8,48.6,28.4,41.6,832,142.1,118227.2,10,11822.72
Control,11,Inshore,3,60.8,84.4,50.6,65.26666667,1305.333333,146.5,191231.3333,10,19123.13333
Heat,11,Inshore,3,57.2,60.8,56.2,58.06666667,1161.333333,140.8,163515.7333,10,16351.57333
Control,19,Inshore,3,57,62.4,52.4,57.26666667,1145.333333,135.2,154849.0667,10,15484.90667
Heat,19,Inshore,3,54.2,63,43.4,53.53333333,1070.666667,142.2,152248.8,10,15224.88
Control,17,Inshore,3,44.6,43.2,34.8,40.86666667,817.3333333,135.5,110748.6667,10,11074.86667
Heat,17,Inshore,3,37.4,43.2,24.2,34.93333333,698.6666667,139,97114.66667,10,9711.466667
Control,34,Offshore,3,29.4,24.2,20.6,24.73333333,494.6666667,131.4,64999.2,10,6499.92
Heat,34,Offshore,3,63,46.4,46,51.8,1036,141.6,146697.6,10,14669.76
Control,39,Offshore,3,33.2,27.8,28.8,29.93333333,598.6666667,146.2,87525.06667,10,8752.506667
Heat,39,Offshore,3,29,26.6,20,25.2,504,138.3,69703.2,9,7744.8
Control,38,Offshore,3,31,32,32,31.66666667,633.3333333,138.2,87526.66667,10,8752.666667
Heat,38,Offshore,3,33.2,35.6,25,31.26666667,625.3333333,132.6,82919.2,10,8291.92
Control,32,Offshore,3,19.2,24.6,21.6,21.8,436,132.2,57639.2,10,5763.92
Heat,32,Offshore,3,34.8,40,26,33.6,672,140.4,94348.8,10,9434.88
Control,46,Offshore,3,75.6,70.4,NA,73,1460,142.2,207612,10,20761.2
Heat,46,Offshore,3,52.4,41.2,35.4,43,860,139.6,120056,10,12005.6
