Trmt,Fam,Origin,Rep,Chla,Chlc,TChl,Vol,Nlar,TChla,ChlaPerLar
Heat,20,Inshore,2,1.164251933,0.653352433,2.170523533,140,10,0.162995271,0.016299527
Control,11,Inshore,2,1.130931267,0.533936933,1.870921833,138.3,10,0.156407794,0.015640779
Heat,11,Inshore,2,1.267894333,0.485404967,1.8483458,137,10,0.173701524,0.017370152
Control,19,Inshore,2,2.124492533,1.297801533,4.115260133,139.4,10,0.296154259,0.029615426
Heat,19,Inshore,2,1.594014067,0.633959333,2.425341,135.4,10,0.215829505,0.02158295
Control,17,Inshore,2,1.045781533,0.410152367,1.580873167,126.3,6,0.132082208,0.022013701
Heat,17,Inshore,2,1.155088067,0.484044367,1.8006131,135.8,10,0.156860959,0.015686096
Control,34,Offshore,2,1.1657886,0.488844067,1.742811667,138.8,10,0.161811458,0.016181146
Heat,34,Offshore,2,1.373431267,0.544031,2.0515596,131.4,10,0.180468868,0.018046887
Control,39,Offshore,2,0.611402,0.174014267,0.803005,138.7,10,0.084801457,0.008480146
Heat,39,Offshore,2,0.580528933,0.157101733,0.763055367,153.9,10,0.089343403,0.00893434
Control,38,Offshore,2,0.569788933,0.1639189,0.750809167,137.7,10,0.078459936,0.007845994
Heat,38,Offshore,2,0.472499533,0.168932233,0.680668133,132.5,10,0.062606188,0.006260619
Control,32,Offshore,2,0.801918867,0.260736733,1.100374767,131,10,0.105051372,0.010505137
Heat,32,Offshore,1,0.841816333,0.239799533,1.103730767,137.5,10,0.115749746,0.011574975
Control,46,Offshore,2,1.7029625,0.647126217,2.519302767,149,10,0.253741413,0.025374141
Heat,46,Offshore,2,1.1024888,0.431331767,1.658429433,140,10,0.154348432,0.015434843
DR,5,Inshore,3,1.133728467,0.603067217,2.04025465,125,10,0.141716058,0.014171606
DR,20,Inshore,3,1.190677367,0.623754617,2.05522305,137.8,10,0.164075341,0.016407534
DR,11,Inshore,3,1.120594867,0.434274717,1.66853675,140,10,0.156883281,0.015688328
DR,19,Inshore,3,1.906572067,1.006439367,3.4727291,134.8,10,0.257005915,0.025700591
DR,17,Inshore,3,0.902778967,0.411613617,1.50279165,143.1,10,0.12918767,0.012918767
DR,34,Offshore,3,1.673499733,1.522371083,4.4084077,142.2,10,0.237971662,0.023797166
DR,39,Offshore,3,0.868909767,0.579527767,1.7811668,136.2,10,0.11834551,0.011834551
DR,38,Offshore,3,0.656331667,0.315555367,1.1301071,141.6,10,0.092936564,0.009293656
DR,32,Offshore,3,0.771523067,0.285095117,1.1493062,136.5,10,0.105312899,0.01053129
DR,46,Offshore,3,0.763514467,0.301635067,1.1789087,137.6,10,0.105059591,0.010505959
Control,5,Inshore,3,1.586603767,0.802913717,2.8725201,135.5,10,0.21498481,0.021498481
Heat,5,Inshore,3,0.946572467,0.355743267,1.40084305,137.6,10,0.130248371,0.013024837
Control,20,Inshore,3,1.653372367,0.780276567,2.759037,132.6,6,0.219237176,0.036539529
Heat,20,Inshore,3,1.129873367,0.420869467,1.6893127,142.1,10,0.160555005,0.016055501
Control,11,Inshore,3,1.607165567,0.553012967,2.2945822,146.5,10,0.235449756,0.023544976
Heat,11,Inshore,3,1.625088467,0.873265767,2.9235109,140.8,10,0.228812456,0.022881246
Control,19,Inshore,3,1.627926,0.606177433,2.4001277,135.2,10,0.220095595,0.02200956
Heat,19,Inshore,3,1.276295933,0.468046867,1.8742396,142.2,10,0.181489282,0.018148928
Control,17,Inshore,3,1.2714414,0.4895995,1.897922033,135.5,10,0.17228031,0.017228031
Heat,17,Inshore,3,1.201794,0.4336787,1.7553323,139,10,0.167049366,0.016704937
Control,34,Offshore,3,1.1583968,0.5271473,1.923983533,131.4,10,0.15221334,0.015221334
Heat,34,Offshore,3,1.873594667,1.566261,4.639913833,141.6,10,0.265301005,0.0265301
Control,39,Offshore,3,0.849140867,0.347602833,1.321368967,146.2,10,0.124144395,0.012414439
Heat,39,Offshore,3,0.650984733,0.2382392,0.998306267,138.3,9,0.090031189,0.010003465
Control,38,Offshore,3,0.776756,0.5508796,1.6948031,138.2,10,0.107347679,0.010734768
Heat,38,Offshore,3,0.520814333,0.307322533,1.0129896,132.6,10,0.069059981,0.006905998
Control,32,Offshore,3,0.862319333,0.343435833,1.312608233,132.2,10,0.113998616,0.011399862
Heat,32,Offshore,3,0.725224667,0.2731528,1.080216033,140.4,10,0.101821543,0.010182154
Control,46,Offshore,3,1.217688667,0.608302033,2.065633833,142.2,10,0.173155328,0.017315533
Heat,46,Offshore,3,0.784086,0.270674833,1.118099267,139.6,10,0.109458406,0.010945841
